,production_budget,worldwide_gross
1053,24000000,4356126
1054,20000000,26146072
1055,5000000,143273
1056,4500000,713413
1057,35000000,10319915
1058,20000000,37226218
1059,6000000,21787233
1060,2000000,72544
1061,15000000,29145924
1062,13000000,27066941
1063,6000000,58809149
1064,1000000,2315026
1065,60000000,264118201
1066,17000000,55041738
1067,60000000,186883563
1068,40000000,38172500
1069,30000000,29203383
1070,2000000,539961
1071,125000000,376000000
1072,18500000,13711903
1073,3500000,10317779
1074,30000000,81529000
1075,30000000,19035741
1076,20000000,15055091
1077,15000000,46189568
1078,4030000,2542264
1079,70000000,116625798
1080,25000000,82150642
1081,23000000,190191646
1082,9000000,4313644
1083,3500000,6451628
1084,90000000,303500000
1085,66000000,189176423
1086,650000,2301777
1087,71500000,294156605
1088,48000000,77562568
1089,2000000,7756617
1090,1500000,2380606
1091,73000000,103891409
1092,1000000,21210
1093,300000,10876
1094,22000000,360099999
1095,65000000,233700000
1096,55000000,1147784
1097,65000000,485035085
1098,15000000,19014238
1099,10000000,30143795
1100,50000000,49105766
1101,26000000,65705772
1102,5000000,23047939
1103,80000000,349464664
1104,13000000,8064972
1105,60000000,48585416
1106,20000000,37672944
1107,10000000,244465
1108,5000000,5502773
1109,45000000,131237688
1110,14000000,15064948
1111,1000000,3465703
1112,13000000,16757163
1113,250000,203134
1114,19000000,8123860
1115,60000000,12069719
1116,1300000,1647780
1117,1000000,1087521
1118,100000,6121582
1119,35000000,245300000
1120,30000000,26708196
1121,2000000,134624
1122,55000000,70692101
1123,14000000,72571864
1124,8000000,2256606
1125,1000000,22434
1126,55000000,198750909
1127,140000000,285400000
1128,40000000,71743823
1129,68000,4678513
1130,60000000,68336997
1131,53000000,22852487
1132,25000000,50692188
1133,3000000,5746453
1134,75000000,14623082
1135,1000000,627287
1136,20000000,20268825
1137,12000000,12905901
1138,10000000,6719864
1139,25000000,780326
1140,20000000,18310591
1141,12000000,22921898
1142,300000,373615
1143,250000,8969065
1144,70000000,117800000
1145,50000000,34645374
1146,26000000,279500000
1147,17000000,16316273
1148,10000000,19080435
1149,85000000,44650003
1150,24000000,40020622
1151,85000000,250649836
1152,45000000,363095319
1153,28000000,140894685
1154,12000000,6200000
1155,3000000,55193251
1156,2900000,17006158
1157,80000000,69131860
1158,15000000,10513979
1159,10000000,21094974
1160,80000000,164800000
1161,13000000,10020081
1162,10000000,25358996
1163,8000000,146083
1164,65000000,250800000
1165,60000000,218613188
1166,52000000,97709034
1167,80000000,50632037
1168,60000000,56709981
1169,50000000,202173000
1170,50000000,159745279
1171,15000000,40283321
1172,10000000,5045359
1173,34000000,11263966
1174,7000000,7824358
1175,48000000,107752036
1176,28000000,8891623
1177,17000000,11634458
1178,8000000,22591451
1179,1700000,2891228
1180,75000000,30626690
1181,40000000,22365133
1182,30000000,12017369
1183,16000000,54294169
1184,1600000,2627795
1185,30000000,4967493
1186,180000,1628579
1187,10000000,63465522
1188,40000000,28544120
1189,6000,240495
1190,22000000,19288130
1191,600000,85343
1192,10000000,12179708
1193,3000000,3076820
1194,40000000,96398826
1195,6000000,6852450
1196,66000,602920
1197,23000000,10660147
1198,12000000,2062406
1199,1000000,5494
1200,60000000,35319689
1201,14000000,4741987
1202,5000000,19421271
1203,4000000,64359
1204,65000000,463517383
1205,13000000,60414025
1206,55000000,34105207
1207,8300000,2598224
1208,5000000,99147
1209,50000000,31333917
